arch,input_shape,framework,hardware,mean,std
mobilenet_v3_small,"(32, 32)",pytorch,cpu,16.53,0.4
mobilenet_v3_small,"(32, 32)",pytorch,gpu,4.48,0.28
mobilenet_v3_small_r,"(32, 32)",pytorch,cpu,12.36,0.34
mobilenet_v3_small_r,"(32, 32)",pytorch,gpu,4.54,0.17
mobilenet_v3_large,"(32, 32)",pytorch,cpu,28.63,0.59
mobilenet_v3_large,"(32, 32)",pytorch,gpu,5.2,0.24
mobilenet_v3_large_r,"(32, 32)",pytorch,cpu,22.91,0.65
mobilenet_v3_large_r,"(32, 32)",pytorch,gpu,5.72,0.19
vgg16_bn_r,"(32, 32)",pytorch,cpu,160.66,1.89
vgg16_bn_r,"(32, 32)",pytorch,gpu,9.2,1.54
resnet31,"(32, 32)",pytorch,cpu,,
resnet31,"(32, 32)",pytorch,gpu,25.1,0.94
magc_resnet31,"(32, 32)",pytorch,cpu,,
magc_resnet31,"(32, 32)",pytorch,gpu,25.82,0.43
